txn_id,credited_amount,value_date
txn_1000,558.76,2026-08-09
txn_1001,10877.77,2026-08-18
txn_1002,656.97,2026-08-03
txn_1003,8927.68,2026-08-18
txn_1004,6280.71,2026-08-15
txn_1005,11201.74,2026-08-09
txn_1006,2451.08,2026-08-11
txn_1007,1598.77,2026-08-14
txn_1008,7973.46,2026-08-13
txn_1009,12225.69,2026-08-20
txn_1009_dup,12225.69,2026-08-20
txn_1010,8569.91,2026-08-03
txn_1011,7218.31,2026-08-03
txn_1012,3585.82,2026-08-21
txn_1013,3234.69,2026-08-13
txn_1014,9030.84,2026-08-06
txn_1015,2565.99,2026-08-13
txn_1016,2233.03,2026-08-11
txn_1017,12115.43,2026-08-11
txn_1018,3256.1,2026-08-19
txn_1018_dup,3256.1,2026-08-19
txn_1019,3279.93,2026-08-16
txn_1020,2268.21,2026-08-05
txn_1021,8013.32,2026-08-19
txn_1023,7583.52,2026-08-03
txn_1024,9296.48,2026-08-14
txn_1025,5731.01,2026-08-15
txn_1026,12680.75,2026-08-03
txn_1027,11086.73,2026-08-21
txn_1028,6501.84,2026-08-15
txn_1029,14292.26,2026-08-06
txn_1030,9521.0,2026-08-10
txn_1031,2412.78,2026-08-06
txn_1032,13517.83,2026-08-20
txn_1033,1818.53,2026-08-12
txn_1033_dup,1818.53,2026-08-12
txn_1034,3669.01,2026-08-08
txn_1034_dup,3669.01,2026-08-08
txn_1035,860.95,2026-08-16
txn_1036,11303.66,2026-08-09
txn_1037,4040.38,2026-08-20
txn_1038,13668.96,2026-08-10
txn_1039,6550.2,2026-08-17
txn_1040,3455.01,2026-08-11
txn_1041,3533.59,2026-08-08
txn_1042,3081.46,2026-08-02
txn_1043,4235.03,2026-08-16
txn_1044,10687.51,2026-08-19
txn_1045,11576.12,2026-08-14
txn_1046,9753.88,2026-08-12
txn_1047,12725.08,2026-08-06
txn_1048,929.46,2026-08-11
txn_1049,2954.79,2026-08-15
txn_1050,4236.02,2026-08-08
txn_1050_dup,4236.02,2026-08-08
txn_1051,6623.17,2026-08-18
txn_1052,12321.75,2026-08-03
txn_1052_dup,12321.75,2026-08-03
txn_1053,2608.17,2026-08-16
txn_1054,13285.03,2026-08-06
txn_1055,4042.51,2026-08-15
txn_1056,9795.79,2026-08-16
txn_1057,3353.53,2026-08-02
txn_1058,1080.13,2026-08-11
txn_1059,7111.34,2026-08-17
txn_1060,1357.94,2026-08-06
txn_1061,9989.29,2026-08-08
txn_1062,3767.11,2026-08-20
txn_1063,6276.44,2026-08-19
txn_1064,13752.98,2026-08-10
txn_1065,4048.47,2026-08-08
txn_1066,4781.83,2026-08-03
txn_1067,14677.59,2026-08-04
txn_1069,12948.94,2026-08-12
txn_1070,12288.64,2026-08-14
txn_1071,309.46,2026-08-18
txn_1072,13814.24,2026-08-05
txn_1073,10964.01,2026-08-05
txn_1074,3250.97,2026-08-11
txn_1075,7526.45,2026-08-09
txn_1075_dup,7526.45,2026-08-09
txn_1076,1357.39,2026-08-14
txn_1078,10946.82,2026-08-22
txn_1079,1818.62,2026-08-05
