txn_id,merchant,recorded_amount,record_date
txn_1000,BlueDart Logistics,558.76,2026-08-09
txn_1001,Curefit,10877.77,2026-08-18
txn_1002,Nykaa,656.97,2026-08-03
txn_1003,Meesho,8927.68,2026-08-18
txn_1004,Meesho,6280.71,2026-08-15
txn_1005,Zepto,11201.74,2026-08-06
txn_1006,Lenskart,2451.08,2026-08-11
txn_1007,Nykaa,1598.77,2026-08-12
txn_1008,Swiggy Instamart,7973.46,2026-08-13
txn_1009,Lenskart,12225.69,2026-08-20
txn_1010,Urban Company,8569.91,2026-08-03
txn_1011,Chaayos,11408.58,2026-08-03
txn_1012,Nykaa,4227.73,2026-08-21
txn_1013,Urban Company,3234.69,2026-08-09
txn_1014,BlueDart Logistics,9030.84,2026-08-06
txn_1015,Chaayos,2565.99,2026-08-13
txn_1016,Meesho,3381.29,2026-08-11
txn_1017,Chaayos,12115.43,2026-08-11
txn_1018,BlueDart Logistics,3256.1,2026-08-19
txn_1019,Urban Company,3279.93,2026-08-16
txn_1020,Swiggy Instamart,2268.21,2026-08-05
txn_1021,Meesho,8013.32,2026-08-19
txn_1022,Boat Lifestyle,5988.91,2026-08-08
txn_1023,Curefit,7586.17,2026-08-03
txn_1024,Curefit,9296.48,2026-08-14
txn_1025,Nykaa,5731.01,2026-08-15
txn_1026,Meesho,12680.75,2026-08-01
txn_1027,Meesho,11086.73,2026-08-21
txn_1028,Lenskart,6501.84,2026-08-15
txn_1029,Lenskart,14292.26,2026-08-06
txn_1030,BlueDart Logistics,12822.0,2026-08-10
txn_1031,Chaayos,2412.78,2026-08-06
txn_1032,Meesho,13517.83,2026-08-20
txn_1033,Zepto,1818.53,2026-08-12
txn_1034,Lenskart,3669.01,2026-08-08
txn_1035,BlueDart Logistics,1438.32,2026-08-16
txn_1036,Meesho,11303.66,2026-08-05
txn_1037,Curefit,4040.38,2026-08-20
txn_1038,Chaayos,13668.96,2026-08-07
txn_1039,Urban Company,6550.2,2026-08-17
txn_1040,Chaayos,3455.01,2026-08-11
txn_1041,Meesho,3533.59,2026-08-08
txn_1042,Zepto,3516.57,2026-08-02
txn_1043,Chaayos,4235.03,2026-08-16
txn_1044,Curefit,10687.51,2026-08-19
txn_1045,Chaayos,11576.12,2026-08-14
txn_1046,BlueDart Logistics,9753.88,2026-08-12
txn_1047,Swiggy Instamart,12725.08,2026-08-02
txn_1048,BlueDart Logistics,1075.13,2026-08-11
txn_1049,Chaayos,2954.79,2026-08-15
txn_1050,Curefit,4236.02,2026-08-08
txn_1051,BlueDart Logistics,6623.17,2026-08-18
txn_1052,Meesho,12321.75,2026-08-03
txn_1053,Chaayos,2608.17,2026-08-16
txn_1054,Nykaa,13285.03,2026-08-06
txn_1055,Nykaa,4042.51,2026-08-15
txn_1056,Meesho,9795.79,2026-08-16
txn_1057,Lenskart,3353.53,2026-08-02
txn_1058,Meesho,1080.13,2026-08-11
txn_1059,Boat Lifestyle,7111.34,2026-08-17
txn_1060,Meesho,1357.94,2026-08-06
txn_1061,BlueDart Logistics,9989.29,2026-08-08
txn_1062,Boat Lifestyle,3767.11,2026-08-20
txn_1063,BlueDart Logistics,6276.44,2026-08-19
txn_1064,Urban Company,13752.98,2026-08-07
txn_1065,Chaayos,4048.47,2026-08-05
txn_1066,Swiggy Instamart,4781.83,2026-08-03
txn_1067,Boat Lifestyle,14677.59,2026-08-04
txn_1068,Chaayos,7533.35,2026-08-05
txn_1069,BlueDart Logistics,12948.94,2026-08-12
txn_1070,Swiggy Instamart,12288.64,2026-08-10
txn_1071,Meesho,309.46,2026-08-18
txn_1072,BlueDart Logistics,13814.24,2026-08-05
txn_1073,BlueDart Logistics,10964.01,2026-08-05
txn_1074,Boat Lifestyle,3250.97,2026-08-11
txn_1075,Lenskart,7526.45,2026-08-09
txn_1076,Zepto,1534.7,2026-08-14
txn_1077,Urban Company,11380.31,2026-08-21
txn_1078,Curefit,10946.82,2026-08-18
txn_1079,Zepto,1818.62,2026-08-05
