txn_id,merchant,gross_amount,fee,net_amount,settlement_date
txn_1000,BlueDart Logistics,570.16,11.4,558.76,2026-08-09
txn_1001,Curefit,11099.77,222.0,10877.77,2026-08-18
txn_1002,Nykaa,670.38,13.41,656.97,2026-08-03
txn_1003,Meesho,9109.88,182.2,8927.68,2026-08-18
txn_1004,Meesho,6408.89,128.18,6280.71,2026-08-15
txn_1005,Zepto,11430.35,228.61,11201.74,2026-08-06
txn_1006,Lenskart,2501.1,50.02,2451.08,2026-08-11
txn_1007,Nykaa,1631.4,32.63,1598.77,2026-08-12
txn_1008,Swiggy Instamart,8136.18,162.72,7973.46,2026-08-13
txn_1009,Lenskart,12475.19,249.5,12225.69,2026-08-20
txn_1010,Urban Company,8744.81,174.9,8569.91,2026-08-03
txn_1011,Chaayos,11641.41,232.83,11408.58,2026-08-03
txn_1012,Nykaa,4314.01,86.28,4227.73,2026-08-21
txn_1013,Urban Company,3300.7,66.01,3234.69,2026-08-09
txn_1014,BlueDart Logistics,9215.14,184.3,9030.84,2026-08-06
txn_1015,Chaayos,2618.36,52.37,2565.99,2026-08-13
txn_1016,Meesho,3450.3,69.01,3381.29,2026-08-11
txn_1017,Chaayos,12362.68,247.25,12115.43,2026-08-11
txn_1018,BlueDart Logistics,3322.55,66.45,3256.1,2026-08-19
txn_1019,Urban Company,3346.87,66.94,3279.93,2026-08-16
txn_1020,Swiggy Instamart,2314.5,46.29,2268.21,2026-08-05
txn_1021,Meesho,8176.86,163.54,8013.32,2026-08-19
txn_1022,Boat Lifestyle,6111.13,122.22,5988.91,2026-08-08
txn_1023,Curefit,7740.99,154.82,7586.17,2026-08-03
txn_1024,Curefit,9486.2,189.72,9296.48,2026-08-14
txn_1025,Nykaa,5847.97,116.96,5731.01,2026-08-15
txn_1026,Meesho,12939.54,258.79,12680.75,2026-08-01
txn_1027,Meesho,11312.99,226.26,11086.73,2026-08-21
txn_1028,Lenskart,6634.53,132.69,6501.84,2026-08-15
txn_1029,Lenskart,14583.94,291.68,14292.26,2026-08-06
txn_1030,BlueDart Logistics,13083.67,261.67,12822.0,2026-08-10
txn_1031,Chaayos,2462.02,49.24,2412.78,2026-08-06
txn_1032,Meesho,13793.7,275.87,13517.83,2026-08-20
txn_1033,Zepto,1855.64,37.11,1818.53,2026-08-12
txn_1034,Lenskart,3743.89,74.88,3669.01,2026-08-08
txn_1035,BlueDart Logistics,1467.67,29.35,1438.32,2026-08-16
txn_1036,Meesho,11534.35,230.69,11303.66,2026-08-05
txn_1037,Curefit,4122.84,82.46,4040.38,2026-08-20
txn_1038,Chaayos,13947.92,278.96,13668.96,2026-08-07
txn_1039,Urban Company,6683.88,133.68,6550.2,2026-08-17
txn_1040,Chaayos,3525.52,70.51,3455.01,2026-08-11
txn_1041,Meesho,3605.7,72.11,3533.59,2026-08-08
txn_1042,Zepto,3588.34,71.77,3516.57,2026-08-02
txn_1043,Chaayos,4321.46,86.43,4235.03,2026-08-16
txn_1044,Curefit,10905.62,218.11,10687.51,2026-08-19
txn_1045,Chaayos,11812.37,236.25,11576.12,2026-08-14
txn_1046,BlueDart Logistics,9952.94,199.06,9753.88,2026-08-12
txn_1047,Swiggy Instamart,12984.78,259.7,12725.08,2026-08-02
txn_1048,BlueDart Logistics,1097.07,21.94,1075.13,2026-08-11
txn_1049,Chaayos,3015.09,60.3,2954.79,2026-08-15
txn_1050,Curefit,4322.47,86.45,4236.02,2026-08-08
txn_1051,BlueDart Logistics,6758.34,135.17,6623.17,2026-08-18
txn_1052,Meesho,12573.21,251.46,12321.75,2026-08-03
txn_1053,Chaayos,2661.4,53.23,2608.17,2026-08-16
txn_1054,Nykaa,13556.15,271.12,13285.03,2026-08-06
txn_1055,Nykaa,4125.01,82.5,4042.51,2026-08-15
txn_1056,Meesho,9995.7,199.91,9795.79,2026-08-16
txn_1057,Lenskart,3421.97,68.44,3353.53,2026-08-02
txn_1058,Meesho,1102.17,22.04,1080.13,2026-08-11
txn_1059,Boat Lifestyle,7256.47,145.13,7111.34,2026-08-17
txn_1060,Meesho,1385.65,27.71,1357.94,2026-08-06
txn_1061,BlueDart Logistics,10193.15,203.86,9989.29,2026-08-08
txn_1062,Boat Lifestyle,3843.99,76.88,3767.11,2026-08-20
txn_1063,BlueDart Logistics,6404.53,128.09,6276.44,2026-08-19
txn_1064,Urban Company,14033.65,280.67,13752.98,2026-08-07
txn_1065,Chaayos,4131.09,82.62,4048.47,2026-08-05
txn_1066,Swiggy Instamart,4879.42,97.59,4781.83,2026-08-03
txn_1067,Boat Lifestyle,14977.13,299.54,14677.59,2026-08-04
txn_1068,Chaayos,7687.09,153.74,7533.35,2026-08-05
txn_1069,BlueDart Logistics,13213.2,264.26,12948.94,2026-08-12
txn_1070,Swiggy Instamart,12539.43,250.79,12288.64,2026-08-10
txn_1071,Meesho,315.78,6.32,309.46,2026-08-18
txn_1072,BlueDart Logistics,14096.16,281.92,13814.24,2026-08-05
txn_1073,BlueDart Logistics,11187.77,223.76,10964.01,2026-08-05
txn_1074,Boat Lifestyle,3317.32,66.35,3250.97,2026-08-11
txn_1075,Lenskart,7680.05,153.6,7526.45,2026-08-09
txn_1076,Zepto,1566.02,31.32,1534.7,2026-08-14
txn_1077,Urban Company,11612.56,232.25,11380.31,2026-08-21
txn_1078,Curefit,11170.22,223.4,10946.82,2026-08-18
txn_1079,Zepto,1855.73,37.11,1818.62,2026-08-05
